country,beer,spirit,wine,liters,continent,cont_AS,cont_EU,cont_NA,cont_OC,cont_SA,beer_level
India,9.0,114,0,2.2,AS,True,False,False,False,False,low
Indonesia,5.0,1,0,0.1,AS,True,False,False,False,False,low
Iran,0.0,0,0,0.0,AS,True,False,False,False,False,low
Iraq,9.0,3,0,0.2,AS,True,False,False,False,False,low
Ireland,313.0,118,165,11.4,EU,False,True,False,False,False,high
Israel,63.0,69,9,2.5,AS,True,False,False,False,False,low
Italy,85.0,42,237,6.5,EU,False,True,False,False,False,low
Jamaica,82.0,97,9,3.4,NA,False,False,True,False,False,low
Japan,77.0,202,16,7.0,AS,True,False,False,False,False,low
Jordan,6.0,21,1,0.5,AS,True,False,False,False,False,low
Kazakhstan,124.0,246,12,6.8,AS,True,False,False,False,False,med
Kenya,58.0,22,2,1.8,AF,False,False,False,False,False,low
Kiribati,21.0,34,1,1.0,OC,False,False,False,True,False,low
Kuwait,0.0,0,0,0.0,AS,True,False,False,False,False,low
Kyrgyzstan,31.0,97,6,2.4,AS,True,False,False,False,False,low
Laos,62.0,0,123,6.2,AS,True,False,False,False,False,low
Latvia,281.0,216,62,10.5,EU,False,True,False,False,False,high
Lebanon,20.0,55,31,1.9,AS,True,False,False,False,False,low
Lesotho,82.0,29,0,2.8,AF,False,False,False,False,False,low
Liberia,19.0,152,2,3.1,AF,False,False,False,False,False,low
Libya,0.0,0,0,0.0,AF,False,False,False,False,False,low
Lithuania,343.0,244,56,12.9,EU,False,True,False,False,False,high
Luxembourg,236.0,133,271,11.4,EU,False,True,False,False,False,high
Madagascar,26.0,15,4,0.8,AF,False,False,False,False,False,low
Malawi,8.0,11,1,1.5,AF,False,False,False,False,False,low
Malaysia,13.0,4,0,0.3,AS,True,False,False,False,False,low
Maldives,0.0,0,0,0.0,AS,True,False,False,False,False,low
Mali,5.0,1,1,0.6,AF,False,False,False,False,False,low
Malta,149.0,100,120,6.6,EU,False,True,False,False,False,med
Marshall Islands,0.0,0,0,0.0,OC,False,False,False,True,False,low
Mauritania,0.0,0,0,0.0,AF,False,False,False,False,False,low
Mauritius,98.0,31,18,2.6,AF,False,False,False,False,False,low
Mexico,238.0,68,5,5.5,NA,False,False,True,False,False,high
Micronesia,62.0,50,18,2.3,OC,False,False,False,True,False,low
Monaco,0.0,0,0,0.0,EU,False,True,False,False,False,low
Mongolia,77.0,189,8,4.9,AS,True,False,False,False,False,low
Montenegro,31.0,114,128,4.9,EU,False,True,False,False,False,low
Morocco,12.0,6,10,0.5,AF,False,False,False,False,False,low
Mozambique,47.0,18,5,1.3,AF,False,False,False,False,False,low
Myanmar,5.0,1,0,0.1,AS,True,False,False,False,False,low
Namibia,376.0,3,1,6.8,AF,False,False,False,False,False,high
Nauru,49.0,0,8,1.0,OC,False,False,False,True,False,low
Nepal,5.0,6,0,0.2,AS,True,False,False,False,False,low
Netherlands,251.0,88,190,9.4,EU,False,True,False,False,False,high
New Zealand,203.0,79,175,9.3,OC,False,False,False,True,False,high
Nicaragua,78.0,118,1,3.5,NA,False,False,True,False,False,low
Niger,3.0,2,1,0.1,AF,False,False,False,False,False,low
Nigeria,42.0,5,2,9.1,AF,False,False,False,False,False,low
Niue,188.0,200,7,7.0,OC,False,False,False,True,False,med
Norway,169.0,71,129,6.7,EU,False,True,False,False,False,med
Oman,22.0,16,1,0.7,AS,True,False,False,False,False,low
Pakistan,0.0,0,0,0.0,AS,True,False,False,False,False,low
Palau,306.0,63,23,6.9,OC,False,False,False,True,False,high
Panama,285.0,104,18,7.2,NA,False,False,True,False,False,high
Papua New Guinea,44.0,39,1,1.5,OC,False,False,False,True,False,low
Paraguay,213.0,117,74,7.3,SA,False,False,False,False,True,high
Peru,163.0,160,21,6.1,SA,False,False,False,False,True,med
Philippines,71.0,186,1,4.6,AS,True,False,False,False,False,low
Poland,343.0,215,56,10.9,EU,False,True,False,False,False,high
Portugal,194.0,67,339,11.0,EU,False,True,False,False,False,med
Qatar,1.0,42,7,0.9,AS,True,False,False,False,False,low
South Korea,140.0,16,9,9.8,AS,True,False,False,False,False,med
Moldova,109.0,226,18,6.3,EU,False,True,False,False,False,med
Romania,297.0,122,167,10.4,EU,False,True,False,False,False,high
Russian Federation,247.0,326,73,11.5,AS,True,False,False,False,False,high
Rwanda,43.0,2,0,6.8,AF,False,False,False,False,False,low
St. Kitts & Nevis,194.0,205,32,7.7,NA,False,False,True,False,False,med
St. Lucia,171.0,315,71,10.1,NA,False,False,True,False,False,med
St. Vincent & the Grenadines,120.0,221,11,6.3,NA,False,False,True,False,False,med
Samoa,105.0,18,24,2.6,OC,False,False,False,True,False,med
San Marino,0.0,0,0,0.0,EU,False,True,False,False,False,low
Sao Tome & Principe,56.0,38,140,4.2,AF,False,False,False,False,False,low
Saudi Arabia,0.0,5,0,0.1,AS,True,False,False,False,False,low
Senegal,9.0,1,7,0.3,AF,False,False,False,False,False,low
Serbia,283.0,131,127,9.6,EU,False,True,False,False,False,high
Seychelles,157.0,25,51,4.1,AF,False,False,False,False,False,med
Sierra Leone,25.0,3,2,6.7,AF,False,False,False,False,False,low
Singapore,60.0,12,11,1.5,AS,True,False,False,False,False,low
Slovakia,196.0,293,116,11.4,EU,False,True,False,False,False,med
Slovenia,270.0,51,276,10.6,EU,False,True,False,False,False,high
Solomon Islands,56.0,11,1,1.2,OC,False,False,False,True,False,low
Somalia,0.0,0,0,0.0,AF,False,False,False,False,False,low
South Africa,225.0,76,81,8.2,AF,False,False,False,False,False,high
Spain,284.0,157,112,10.0,EU,False,True,False,False,False,high
Sri Lanka,16.0,104,0,2.2,AS,True,False,False,False,False,low
Sudan,8.0,13,0,1.7,AF,False,False,False,False,False,low
Suriname,128.0,178,7,5.6,SA,False,False,False,False,True,med
Swaziland,90.0,2,2,4.7,AF,False,False,False,False,False,low
Sweden,152.0,60,186,7.2,EU,False,True,False,False,False,med
Switzerland,185.0,100,280,10.2,EU,False,True,False,False,False,med
Syria,5.0,35,16,1.0,AS,True,False,False,False,False,low
Tajikistan,2.0,15,0,0.3,AS,True,False,False,False,False,low
Thailand,99.0,258,1,6.4,AS,True,False,False,False,False,low
Macedonia,106.0,27,86,3.9,EU,False,True,False,False,False,med
Timor-Leste,1.0,1,4,0.1,AS,True,False,False,False,False,low
Togo,36.0,2,19,1.3,AF,False,False,False,False,False,low
Tonga,36.0,21,5,1.1,OC,False,False,False,True,False,low
Trinidad & Tobago,197.0,156,7,6.4,NA,False,False,True,False,False,med
Tunisia,51.0,3,20,1.3,AF,False,False,False,False,False,low
Turkey,51.0,22,7,1.4,AS,True,False,False,False,False,low
Turkmenistan,19.0,71,32,2.2,AS,True,False,False,False,False,low
Tuvalu,6.0,41,9,1.0,OC,False,False,False,True,False,low
Uganda,45.0,9,0,8.3,AF,False,False,False,False,False,low
Ukraine,206.0,237,45,8.9,EU,False,True,False,False,False,high
United Arab Emirates,16.0,135,5,2.8,AS,True,False,False,False,False,low
United Kingdom,219.0,126,195,10.4,EU,False,True,False,False,False,high
Tanzania,36.0,6,1,5.7,AF,False,False,False,False,False,low
USA,249.0,158,84,8.7,NA,False,False,True,False,False,high
Uruguay,115.0,35,220,6.6,SA,False,False,False,False,True,med
Uzbekistan,25.0,101,8,2.4,AS,True,False,False,False,False,low
Vanuatu,21.0,18,11,0.9,OC,False,False,False,True,False,low
Venezuela,333.0,100,3,7.7,SA,False,False,False,False,True,high
Vietnam,111.0,2,1,2.0,AS,True,False,False,False,False,med
Yemen,6.0,0,0,0.1,AS,True,False,False,False,False,low
Zambia,32.0,19,4,2.5,AF,False,False,False,False,False,low
Zimbabwe,64.0,18,4,4.7,AF,False,False,False,False,False,low
